EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2008-1-1,31,23,14,30,25,13,100,95,84,30.14,29.82,29.58,9,3,0,8,1,9,0.35,6,Fog-Snow,38
2008-1-2,30,17,3,29,13,-7,100,80,63,30.40,29.93,29.58,10,6,1,16,9,21,0.01,6,Snow,35
2008-1-3,7,-4,-16,-6,-11,-20,86,70,59,30.73,30.63,30.41,10,9,2,17,5,22,0.00,0,,355
2008-1-4,23,7,-10,13,4,-9,91,78,65,30.62,30.49,30.40,10,9,2,13,3,17,0.00,2,,200
2008-1-5,31,16,1,25,15,-1,91,79,58,30.40,30.29,30.16,10,8,5,12,1,15,0.00,3,,183
2008-1-6,39,35,31,32,29,23,96,80,64,30.23,30.18,30.14,10,7,2,9,3,12,0.00,8,,199
2008-1-7,46,40,33,39,35,32,100,93,82,30.18,30.14,30.11,7,4,1,10,1,14,0.01,7,,185
2008-1-8,61,47,32,47,38,30,100,90,62,30.11,30.03,29.84,10,5,2,12,3,16,0.00,4,,197
2008-1-9,56,44,32,50,36,21,100,83,39,29.99,29.71,29.53,10,4,0,28,9,39,0.11,6,Fog-Rain,229
2008-1-10,43,34,25,27,25,23,100,68,45,30.16,30.11,29.97,10,10,7,14,5,21,0.00,1,,215
2008-1-11,40,35,30,38,34,29,100,98,85,30.02,29.72,29.54,10,3,0,10,2,13,1.18,8,Fog-Rain,209
2008-1-12,42,32,22,33,27,21,100,71,49,30.18,30.02,29.83,10,10,10,16,5,21,0.00,6,,255
2008-1-13,39,29,19,25,23,19,100,82,59,30.30,30.20,30.08,10,10,8,8,3,10,0.00,1,,43
2008-1-14,33,30,27,29,27,25,100,92,72,30.04,29.88,29.79,10,3,1,12,4,13,0.09,8,Snow,27
2008-1-15,28,19,10,27,20,8,96,89,80,30.00,29.82,29.77,10,6,2,9,3,,0.02,7,Snow,69
2008-1-16,32,18,3,18,8,1,96,77,43,30.43,30.26,30.01,10,10,7,18,2,25,0.00,0,,25
2008-1-17,28,15,2,27,14,1,92,83,53,30.43,30.25,30.06,10,6,1,10,1,12,0.04,4,Snow,181
2008-1-18,40,32,24,34,25,10,100,87,40,30.05,29.86,29.73,10,4,1,21,5,28,0.40,7,Rain-Snow,207
2008-1-19,31,18,5,18,11,4,92,62,43,30.07,29.99,29.92,10,10,6,15,7,20,0.00,1,,217
2008-1-20,23,16,8,9,3,-5,76,58,37,30.39,30.11,29.91,10,9,2,20,8,28,T,3,Snow,271
2008-1-21,20,9,-3,5,-1,-9,87,62,45,30.66,30.59,30.41,10,10,10,16,5,23,0.00,1,,224
2008-1-22,31,16,1,27,16,-2,92,81,42,30.54,30.03,29.78,10,5,0,24,5,36,0.02,5,Fog-Snow,208
2008-1-23,31,22,13,20,10,7,80,58,42,30.06,29.96,29.87,10,10,8,20,8,26,T,4,Snow,234
2008-1-24,23,9,-6,19,9,-9,95,87,56,30.21,30.05,29.97,10,3,0,9,1,12,0.01,5,Fog-Snow,44
2008-1-25,27,7,-13,15,-1,-17,100,72,46,30.30,30.22,30.13,10,8,2,16,5,23,T,6,Snow,222
2008-1-26,28,21,14,19,16,12,88,77,51,30.29,30.22,30.18,10,8,1,12,3,16,0.01,8,Snow,149
2008-1-27,34,24,13,25,19,14,92,83,47,30.21,30.16,30.09,10,7,2,9,2,13,T,6,Snow,27
2008-1-28,30,17,4,21,14,4,96,81,53,30.18,30.12,30.04,10,9,4,13,4,16,0.00,1,,32
2008-1-29,30,16,2,27,15,0,96,85,75,30.02,29.83,29.62,10,6,2,6,1,7,0.04,5,Rain,154
2008-1-30,39,30,21,38,26,4,100,80,40,30.18,29.55,29.31,10,5,1,28,7,39,0.39,7,Rain-Snow,244
2008-1-31,29,20,10,15,11,6,84,59,46,30.67,30.53,30.23,10,10,10,6,5,7,0.00,3,,189
2008-2-1,34,29,23,32,26,15,100,88,63,30.62,30.17,29.61,10,6,0,14,5,18,1.03,7,Fog-Rain-Snow,359
2008-2-2,36,34,32,34,28,25,100,79,69,30.17,29.96,29.62,10,9,2,15,7,22,0.01,8,,220
2008-2-3,38,34,30,30,28,26,92,79,64,30.32,30.21,30.15,10,8,1,12,3,16,0.00,8,,217
